lat,lon,PFT
-54.933,-67.633,7
-54.9167,-67.617,7
-53.633,-69.633,7
-51.1,-73.133,7
-51.133,-72.57,7
-42.766,146.593,1
-42.383,-72.417,1
-42.383,-72.417,7
-42.383,-72.417,7
-41.533,-72.58,1
-41.18,-71.78,7
-41.15,-71.7,7
-41.1943,-71.622,7
-41.158,-71.78,1
-41.158,-71.7835,1
-41.25,-71.28,7
-40.05,-73.68,1
-40.167,-73.43,1
-39.367,-71.967,7
-38.716,-71.7,1
-38.428,-71.538,1
-36.917,-71.433,7
-33.094,118.736,1
-33.095,119.418,1
-33.095,119.418,1
-33.051,120.795,1
-29.429,-50.391,1
-28.593,-49.815,1
-24.4,19.217,1
-22.851,117.628,1
-22.85138889,118.6277778,1
-22.263,29.279,6
-22.382,31.219,6
-19.45,-43.967,4
-19.45,-43.967,6
-15.833,-62.85,4
-15.833,-62.85,6
-15.833,-62.85,4
-15.833,-62.85,6
-12.618,-69.183,4
-10.15,-59.433,4
-10.15,-59.433,6
-7.45,111.5,4
-7.083,111.183,4
0.23333333,25.25,4
4.667,11.533,4
4.95,117.8,4
4.95,117.8,4
5.033,-58.617,4
5.033,-58.617,4
5.217,9.1,4
5.217,9.1,6
5.217,9.1,6
5.217,9.1,6
5.883,117.083,4
6.1,-61.383,4
6.917,-61.24,4
7.85,38.7,4
7.85,38.7,6
7.85,38.7,4
7.85,38.7,4
10.433,-83.983,4
10.75,76.65,4
12.25,39.5,1
12.617,37.45,1
15.6,99.2,4
15.6,99.2,6
15.6,99.2,4
15.6,99.2,4
15.667,99.167,6
15.667,99.167,4
15.667,99.167,4
16.65,-95,4
19.274,-98.661,1
19.274,-98.661,1
19.065,82.05,4
19.567,98.267,7
19.567,98.267,4
22.916,112.93,1
23.167,112.567,1
23.183,113.35,1
23.5,120.95,1
23.633,113.85,1
24.483,100.983,1
25.267,-80.4,1
25.417,117.417,1
26.216,15.867,4
26.9,-80.067,1
28.306,-16.568,1
29.5,94,1
29.717,31.803,4
29.55,101.967,1
30.45,77.8,1
30.28333333,99.46666667,1
30.417,119.417,1
30.4,130.5,1
30.28,130.58,1
30.666,34,1
31.117,35,1
31.083937,96.976387,1
31.083937,96.976387,1
31.017,115.717,1
31.517,101.7,1
31.6,115.75,1
32.41,-110.7,1
32.117,35,1
32.033,35,1
32.416,77.283,1
32.72,-109.97,1
32.85,-107.58,1
32.75,-105.77,1
32.97,-5.07,1
33.04,102.8,1
33.81,-110.91,1
33.8,96.1333,1
34.15,-118.73,7
34.2,-117.75,1
34.452,-111.697,1
34.24,-105.79,1
34.67,-119.95,1
34.896,-111.825,1
34.683,-94.63,7
34.67,-84.183,7
34.67,-84.183,7
34.533,3.033,1
34.617,3.1,1
34.6,3.08,1
35.019,-112.819,1
35.26972222,-111.7416667,1
35.18,-111.488,1
35.27,-107.62,1
35.21,-106.42,1
35.27,101.95,1
35.1,126.55,7
35.44,126.76,7
35.1,126.55,1
35.43,126.76,1
35.3,135.717,7
35.379,139.103,7
35.44,139.231,1
35.44,139.231,1
35.72,-109.363,1
35.78,-93.556,7
35.736,-93.78,7
35.678,-93.968,7
35.722,-93.4,7
35.74,74.59,1
35.9,74.56,1
35.9,74.56,1
35.78,104.05,7
35.867,104.033,1
35.58,108.68,1
36.26666667,-110,1
36.37,74.99,1
36.683,-118.933,1
36.667,-118.9,1
36.76,-112.26,1
36.816,-107.46,1
36.692,-5.019,1
36.72,-4.965,1
36.72,-4.965,1
36.722,-4.965,1
36.668,54.567,7
36.668,54.533,1
37.45,-118.116,1
37.433,-118.167,1
37.4333,-118.116,1
37.45,-118.167,1
37.44,-112.466,1
37.168,-110,1
37.5,-108.333,1
37.067,-89.6,7
37.4333,98.03,1
37.4333,98.03,1
37.433,98.05,1
37.526,-118.218,1
37.533,-118.216,1
37.8,-2.95,1
37.81,-2.96,1
37.833,128.417,1
38.4,-122.984,1
38.4,-122.9916667,1
38.43333333,-119.4333333,1
38.115,-2.748,1
38.183,15.867,7
38.26,99.933,1
38.26,99.933,1
38.617,-118.617,1
38.883,-79.236,1
38.6,99.867,1
38.517,105.767,1
39.36,-111.26,1
39.13,16.667,7
39.817,-1.25,1
39.93,16.2,1
40,16.38,7
40.25,-100.2666667,7
40.25,-100.2666667,1
40.25,-100.2666667,7
40.288,-0.807,1
40.322,-0.702,1
40.322,-0.702,1
40.329,-0.8,1
40.329,-0.807,1
40.5,-0.617,1
40.391,-0.663,1
40.391,-0.663,1
40.033,8.717,1
40.467,15.4,7
40.315,15.899,7
40.017,16.333,7
40.333,117.167,1
40.868,-124.067,1
40.8748,-124.046045,1
40.54,-110.64,1
40.75,-105.167,1
40.816,14.433,7
40.816,14.433,7
40.95,100.18,7
40.95,100.18,7
41.451,-124.036,1
41.403372,-124.029885,1
41.067,-74.017,7
41.067,-74.017,7
41.416678,-74.00535,7
41.416678,-74.00535,7
41.13,14.583,1
41.13,14.583,1
41.784,-124.068,1
41.795414,-124.104703,1
41.767,-2.817,1
41.966,-2.75,1
42,-2.75,1
42,-2.817,1
41.967,-2.816,1
41.72,2,1
41.78,2.444,7
41.777,2.454,7
41.75,2.469,7
41.81,2.38,7
42,9,1
41.81,13.717,7
41.76,14.2,7
41.75,16,7
41.82,23.08,7
42.067,-2.5,1
42.43,-0.967,1
42.233,1.7,1
42.24,1.7,1
42.349,1.956,1
42.262,1.633,1
42.34916667,1.95611111,1
42.03,23.96,1
42.684,-2.491,7
42.68416667,-2.49138889,7
42.68416667,-2.49138889,7
42.75,-0.867,1
42.75,-0.867,1
42.867,-0.8,1
42.575,-0.97009,1
42.66444444,0.01638889,1
42.647,0.835,1
42.64694444,0.83472222,1
42.766,10.183,5
42.767,10.183,7
43.292,-123.583,1
43.167,-123.8,1
43.28,-79.8,7
43.05,-5.25,1
43.07,-5.25,1
43.153,-1.596,7
43.15277778,-1.59638889,7
43.15277778,-1.59638889,7
43.15,10.9,7
43.42,81.044,1
43.441,81.084,1
43.438,81.093,1
43.117,82.41,1
43.133,82.85,1
43.22,87.18,1
43.565,-123.777,1
43.89,7.06,1
43.92,7.76,1
43.85,11.733,7
44,87,1
44.4,-121.6666667,1
44.417,-121.4,1
44.33,-79.6,7
44.37,-78.3,7
44.26,-76.4,7
44.29,11.18,1
44.333,142.25,7
44.527,-122.632,1
44.73,-94,2
44.58,-76.32,7
44.7,-0.767,1
44.86,8.32,7
45.5,-75.9,7
45.018,6.5355,3
45.82,-121.952,1
45.928,-114.265,1
45.928,-114.265,1
45.7294915,6.1704235,7
45.708224,6.149733,1
45.78305556,7.54777778,3
45.78305556,7.54777778,1
45.78305556,7.54777778,1
45.78305556,7.54777778,1
45.78305556,7.54777778,1
46,10,1
46,10,3
45.9,12.416,7
45.75,14.03,7
45.8,27.02,7
46.35,-79.4,7
46.3,7.6,1
46.408,7.792,3
46.433,7.8,3
46.40833333,7.79166667,3
46.417,7.817,1
46.35,8.6,7
46.35,8.6,7
46.35,8.6,7
46.5,8.77,1
46.5,8.76,1
46.5,8.767,1
46.067,10.934,7
46.067,10.934,1
46.08,11.051,1
46.25,11.495,1
46.25,11.49527778,1
46.292,11.613,1
46.29222222,11.61361111,1
46.05,12.383,7
46.394465,14.221239,3
46.856,-114.685,1
46.856,-114.685,1
46.954,-114.328,1
46.954,-114.328,1
46.65,-113.65,1
46.65,-113.65,1
46.77795,-111.777,1
46.77795,-111.777,1
46.91,6.79,1
46.763,7.172,7
47,7.483,7
46.994,7.545,7
46.6765715,10.1698775,3
46.6765715,10.1698775,1
47.329,-114.869,1
47.329,-114.869,1
47.083,7.167,7
47.217,7.416,7
47.217,7.416,1
47.217,7.416,7
47.217,7.416,1
47.16583333,7.26833333,1
47.16583333,7.26833333,3
47.16583333,7.26833333,1
47.16583333,7.26833333,1
47.16583333,7.26833333,1
47.133,7.58,1
47.167,8.25,1
47.17972222,8.25722222,1
47.0333,8.717,1
47.21,11.452,1
47.21,11.452,1
47.21,11.452,3
47.8,14.44166667,7
47.85,14.44166667,3
47.8,14.44166667,1
47.95,16.06,1
48.35,-116.833,1
48.35,-116.833,1
48.35,-116.833,1
48.366,-116.75,1
48.366,-116.75,1
48.47269,-79.330129,1
48.017,-2.167,7
48.25,-1.7,7
48.333,-1.833,7
48.1,-1.67777778,7
48.333,1.167,7
48.38,2.67,7
48.3,2.67,7
48.073,8.837,1
48.18,16.2,7
48.19111111,16.20722222,7
48.25,120.1,2
48.574,-70.979,2
48.624,-70.565,2
48.675,-70.614,2
48.625,-70.535,2
48.902,-70.61,2
48.777,6.217,7
49.15,9.93,1
49.15,9.53,1
49.783,6.35,7
50.2,18.19,1
50.24,19.25,1
50.12,20.38,1
50.12,20.38,7
50.05,20.333,1
50.05,20.333,7
50.036899,20.340865,1
50.036899,20.340865,7
50.4,87.55,2
50.924,11.589,1
50.9,18.56,1
51.41,-0.59,1
51.314353,-0.836869,1
51.314353,-0.836869,7
51.314353,-0.836869,7
51.314353,-0.836869,7
51.5,9.78,7
51.09,10.52,7
51.4505,122.76,1
51.3873,123.34,3
51.98,-0.59,7
52,-0.58,7
52,-0.58,7
52,-0.58,1
52.217,-4.216,7
52.23,-0.46,1
52.23,-0.46,7
52.233,104.183,3
52.833,0.5,7
52.833,0.5,7
52.827,14.014,1
52.827,14.014,1
53.43,91.833,1
53.283,107.633,3
53.85,22.96,1
53.72361111,91.84,1
54.23,-71.39,2
54.1,22.93,1
54.267,89.617,1
54.26138889,89.62388889,1
54.4,89.95,3
54.4,89.95,3
54.88,23.97,1
54.644,25.184,1
54.978,25.181,7
55.27,-3.43,7
55.267,-3.433,7
55.66971,-3.954996,7
55.85,108.917,3
56.21,-111.2,8
56.367,92.95,1
57.333,-135.567,1
57.15,-110.86,2
57.917,-152.6,1
58.49,-155.67,2
59.44,18,1
59.44,18,1
59.267,27.3,1
59.3,90.7,1
59.81,-154.12,2
59.55,18,1
60,23.08,7
60,23.08,7
60,23.08333333,7
60,133.817,3
60,133.817,3
60.3,-153.99,2
60.016,-112.016,2
60.416,22.167,7
60.81,-150.85,2
60.75,89.38,1
60.717,89.133,1
62,12.18,1
62.25,129.233,3
62.233,129.617,3
62.98,30.98,1
62.983,31.267,1
62.98333333,31.26666667,1
63.166,13.5,1
63.16666667,13.5,1
63.067,87.533,1
63.1,139.08,3
64.4,-133.8111111,2
64.267,66.05,1
64.53333333,100.2333333,3
64.717,148.4,2
65.8,87.9,1
65.967,88.45,1
66.367,26.717,1
67.5,-162.2,2
67.2,59.5,1
68,-149.7,2
68,-147,2
67.95,20.03,1
67.898,20.082,1
68,20.03,1
67.732,33.714,1
67.75,33.533,1
68.1,-161.7,2
68.4,-133.8,2
68.5,-133.483,2
68.133,23.4,1
68.5,27.5,1
68.5,27.5,1
68.1,60,1
68.8,15.733,1
68.55,22.14,1
68.93,28.42,1
68.933,28.31,1
68.93333333,28.31666667,1
68.733,161.383,3
69.117,27.25,1
69.667,27.08,1
70,148,3
70.633,103.35,3
70.55,148.25,3
72,102,3
72,102,3
